,State,Year,Type of power,growthRate,capacity
167,Punjab,2007,Small Hydro Power,0.1699919736056689,123.91168118748756
168,Punjab,2007,Solar Power,0.1699919736056689,0.32
169,Punjab,2007,Waste to Energy,0.1699919736056689,9.25
170,Punjab,2007,Wind Power,0.1699919736056689,0.0
171,Punjab,2008,Bio-Mass Power,27.13,28.0
172,Punjab,2008,Small Hydro Power,27.13,123.9
173,Punjab,2008,Solar Power,27.13,0.32
174,Punjab,2008,Waste to Energy,27.13,9.25
175,Punjab,2008,Wind Power,27.13,0.0
176,Punjab,2009,Bio-Mass Power,17.0,62.5
177,Punjab,2009,Small Hydro Power,17.0,132.55
178,Punjab,2009,Solar Power,17.0,1.33
179,Punjab,2009,Waste to Energy,17.0,9.25
180,Punjab,2009,Wind Power,17.0,0.0
181,Punjab,2010,Bio-Mass Power,9.56,74.5
182,Punjab,2010,Small Hydro Power,9.56,154.5
183,Punjab,2010,Solar Power,9.56,2.33
184,Punjab,2010,Waste to Energy,9.56,9.25
185,Punjab,2010,Wind Power,9.56,0.0
186,Punjab,2011,Bio-Mass Power,12.9,90.5
187,Punjab,2011,Small Hydro Power,12.9,154.5
188,Punjab,2011,Solar Power,12.9,9.33
189,Punjab,2011,Waste to Energy,12.9,9.25
190,Punjab,2011,Wind Power,12.9,0.0
191,Punjab,2012,Bio-Mass Power,8.48,124.5
192,Punjab,2012,Small Hydro Power,8.48,154.5
193,Punjab,2012,Solar Power,8.48,9.33
194,Punjab,2012,Waste to Energy,8.48,9.25
195,Punjab,2012,Wind Power,8.48,0.0
196,Punjab,2013,Bio-Mass Power,57.52,140.5
197,Punjab,2013,Small Hydro Power,57.52,156.2
198,Punjab,2013,Solar Power,57.52,16.85
199,Punjab,2013,Waste to Energy,57.52,9.25
200,Punjab,2013,Wind Power,57.52,0.0
201,Punjab,2014,Bio-Mass Power,50.32,140.5
202,Punjab,2014,Small Hydro Power,50.32,157.4
203,Punjab,2014,Solar Power,50.32,185.27
204,Punjab,2014,Waste to Energy,50.32,10.25
205,Punjab,2014,Wind Power,50.32,0.0
206,Punjab,2015,Bio-Mass Power,55.46,155.5
207,Punjab,2015,Small Hydro Power,55.46,170.9
208,Punjab,2015,Solar Power,55.46,405.06
209,Punjab,2015,Waste to Energy,55.46,10.25
210,Punjab,2015,Wind Power,55.46,0.0
211,Punjab,2016,Bio-Mass Power,0.0,179.0
212,Punjab,2016,Small Hydro Power,0.0,170.9
213,Punjab,2016,Solar Power,0.0,793.95
214,Punjab,2016,Waste to Energy,0.0,9.25
215,Punjab,2016,Wind Power,0.0,0.0
216,Punjab,2017,Bio-Mass Power,0.0,317.1
217,Punjab,2017,Small Hydro Power,0.0,173.55
218,Punjab,2017,Solar Power,0.0,905.62
219,Punjab,2017,Waste to Energy,0.0,9.25
220,Punjab,2017,Wind Power,0.0,0.0
221,Punjab,2018,Bio-Mass Power,3.06,317.1
222,Punjab,2018,Small Hydro Power,3.06,173.55
223,Punjab,2018,Solar Power,3.06,905.62
224,Punjab,2018,Waste to Energy ,3.06,9.25
225,Punjab,2018,Wind Power,3.06,0.0
226,Punjab,2019,Bio-Mass Power,11.6,317.1
227,Punjab,2019,Small Hydro Power,11.6,173.55
228,Punjab,2019,Solar Power,11.6,947.1
229,Punjab,2019,Waste to Energy ,11.6,10.75
230,Punjab,2019,Wind Power,11.6,0.0
231,Punjab,2020,Bio-Mass Power,7.3,473.45
232,Punjab,2020,Small Hydro Power,7.3,173.55
233,Punjab,2020,Solar Power,7.3,982.3
234,Punjab,2020,Waste to Energy ,7.3,18.2
235,Punjab,2020,Wind Power,7.3,0.0
236,Punjab,2021,Bio-Mass Power,7.3,473.45
237,Punjab,2021,Small Hydro Power,7.3,176.1
238,Punjab,2021,Solar Power,7.3,1100.07
239,Punjab,2021,Waste to Energy ,7.3,18.2
240,Punjab,2021,Wind Power,7.3,0.0
241,Chandigarh,2006,Bio-Mass Power,0.0,0.0
242,Chandigarh,2006,Small Hydro Power,0.0,0.0
243,Chandigarh,2006,Solar Power,0.0,0.0
244,Chandigarh,2006,Waste to Energy,0.0,0.0
245,Chandigarh,2006,Wind Power,0.0,0.0
246,Chandigarh,2008,Bio-Mass Power,0.0,0.0
247,Chandigarh,2008,Small Hydro Power,0.0,0.0
248,Chandigarh,2008,Solar Power,0.0,0.0
249,Chandigarh,2008,Waste to Energy,0.0,0.0
250,Chandigarh,2008,Wind Power,0.0,0.0
251,Chandigarh,2009,Bio-Mass Power,0.0,0.0
252,Chandigarh,2009,Small Hydro Power,0.0,0.0
253,Chandigarh,2009,Solar Power,0.0,0.0
254,Chandigarh,2009,Waste to Energy,0.0,0.0
255,Chandigarh,2009,Wind Power,0.0,0.0
256,Chandigarh,2010,Bio-Mass Power,0.0,0.0
257,Chandigarh,2010,Small Hydro Power,0.0,0.0
258,Chandigarh,2010,Solar Power,0.0,0.0
259,Chandigarh,2010,Waste to Energy,0.0,0.0
260,Chandigarh,2010,Wind Power,0.0,0.0
261,Chandigarh,2011,Bio-Mass Power,0.0,0.0
262,Chandigarh,2011,Small Hydro Power,0.0,0.0
263,Chandigarh,2011,Solar Power,0.0,0.0
264,Chandigarh,2011,Waste to Energy,0.0,0.0
265,Chandigarh,2011,Wind Power,0.0,0.0
266,Chandigarh,2012,Bio-Mass Power,0.0,0.0
267,Chandigarh,2012,Small Hydro Power,0.0,0.0
268,Chandigarh,2012,Solar Power,0.0,0.0
269,Chandigarh,2012,Waste to Energy,0.0,0.0
270,Chandigarh,2012,Wind Power,0.0,0.0
271,Chandigarh,2013,Bio-Mass Power,0.0,0.0
272,Chandigarh,2013,Small Hydro Power,0.0,0.0
273,Chandigarh,2013,Solar Power,0.0,2.0
274,Chandigarh,2013,Waste to Energy,0.0,0.0
275,Chandigarh,2013,Wind Power,0.0,0.0
276,Chandigarh,2014,Bio-Mass Power,51.24,0.0
277,Chandigarh,2014,Small Hydro Power,51.24,0.0
278,Chandigarh,2014,Solar Power,51.24,4.5
279,Chandigarh,2014,Waste to Energy,51.24,0.0
280,Chandigarh,2015,Bio-Mass Power,154.48,0.0
281,Chandigarh,2015,Small Hydro Power,154.48,0.0
282,Chandigarh,2015,Solar Power,154.48,6.81
283,Chandigarh,2015,Waste to Energy,154.48,0.0
284,Chandigarh,2015,Wind Power,154.48,0.0
285,Chandigarh,2016,Bio-Mass Power,0.0,0.0
286,Chandigarh,2016,Small Hydro Power,0.0,0.0
287,Chandigarh,2016,Solar Power,0.0,17.32
288,Chandigarh,2016,Waste to Energy,0.0,0.0
289,Chandigarh,2016,Wind Power,0.0,0.0
290,Chandigarh,2017,Bio-Mass Power,37.74,0.0
291,Chandigarh,2017,Small Hydro Power,37.74,0.0
292,Chandigarh,2017,Solar Power,37.74,25.2
293,Chandigarh,2017,Waste to Energy,37.74,0.0
294,Chandigarh,2017,Wind Power,37.74,0.0
295,Chandigarh,2018,Bio-Mass Power,16.83,0.0
296,Chandigarh,2018,Small Hydro Power,16.83,0.0
297,Chandigarh,2018,Solar Power,16.83,34.71
298,Chandigarh,2018,Waste to Energy ,16.83,0.0
299,Chandigarh,2018,Wind Power,16.83,0.0
300,Chandigarh,2019,Bio-Mass Power,11.4,0.0
301,Chandigarh,2019,Small Hydro Power,11.4,0.0
302,Chandigarh,2019,Solar Power,11.4,40.55
303,Chandigarh,2019,Waste to Energy ,11.4,0.0
304,Chandigarh,2019,Wind Power,11.4,0.0
305,Chandigarh,2020,Bio-Mass Power,20.01,0.0
306,Chandigarh,2020,Small Hydro Power,20.01,0.0
307,Chandigarh,2020,Solar Power,20.01,45.97
308,Chandigarh,2020,Waste to Energy ,20.01,0.0
309,Chandigarh,2020,Wind Power,20.01,0.0
310,Chandigarh,2021,Bio-Mass Power,20.01,0.0
311,Chandigarh,2021,Small Hydro Power,20.01,0.0
312,Chandigarh,2021,Solar Power,20.01,55.17
313,Chandigarh,2021,Waste to Energy ,20.01,0.0
314,Chandigarh,2021,Wind Power,20.01,0.0
315,Uttarakhand,2006,Bio-Mass Power,0.0,0.0
316,Uttarakhand,2006,Small Hydro Power,0.0,75.67
317,Uttarakhand,2006,Solar Power,0.0,0.05
318,Uttarakhand,2006,Waste to Energy,0.0,0.0
319,Uttarakhand,2006,Wind Power,0.0,0.0
320,Uttarakhand,2007,Bio-Mass Power,21.68,0.0
321,Uttarakhand,2007,Small Hydro Power,21.68,105.12
322,Uttarakhand,2007,Solar Power,21.68,0.05
323,Uttarakhand,2007,Waste to Energy,21.68,0.0
324,Uttarakhand,2007,Wind Power,21.68,0.0
325,Uttarakhand,2008,Bio-Mass Power,3.91,0.0
326,Uttarakhand,2008,Small Hydro Power,3.91,105.12
327,Uttarakhand,2008,Solar Power,3.91,0.05
328,Uttarakhand,2008,Waste to Energy,3.91,0.0
329,Uttarakhand,2008,Wind Power,3.91,0.0
330,Uttarakhand,2009,Bio-Mass Power,8.8,0.0
331,Uttarakhand,2009,Small Hydro Power,8.8,132.92
332,Uttarakhand,2009,Solar Power,8.8,0.05
333,Uttarakhand,2009,Waste to Energy,8.8,0.0
334,Uttarakhand,2009,Wind Power,8.8,0.0
335,Uttarakhand,2010,Bio-Mass Power,28.48,10.0
336,Uttarakhand,2010,Small Hydro Power,28.48,134.62
337,Uttarakhand,2010,Solar Power,28.48,0.05
338,Uttarakhand,2010,Waste to Energy,28.48,0.0
339,Uttarakhand,2010,Wind Power,28.48,0.0
340,Uttarakhand,2011,Bio-Mass Power,2.15,10.0
341,Uttarakhand,2011,Small Hydro Power,2.15,170.82
342,Uttarakhand,2011,Solar Power,2.15,5.05
343,Uttarakhand,2011,Waste to Energy,2.15,0.0
344,Uttarakhand,2011,Wind Power,2.15,0.0
345,Uttarakhand,2012,Bio-Mass Power,10.53,10.0
346,Uttarakhand,2012,Small Hydro Power,10.53,174.82
347,Uttarakhand,2012,Solar Power,10.53,5.05
348,Uttarakhand,2012,Waste to Energy,10.53,0.0
349,Uttarakhand,2012,Wind Power,10.53,0.0
350,Uttarakhand,2013,Bio-Mass Power,16.42,30.0
351,Uttarakhand,2013,Small Hydro Power,16.42,174.82
352,Uttarakhand,2013,Solar Power,16.42,5.05
353,Uttarakhand,2013,Waste to Energy,16.42,0.0
354,Uttarakhand,2013,Wind Power,16.42,0.0
355,Uttarakhand,2014,Bio-Mass Power,33.63,30.0
356,Uttarakhand,2014,Small Hydro Power,33.63,209.32
357,Uttarakhand,2014,Solar Power,33.63,5.0
358,Uttarakhand,2014,Waste to Energy,33.63,0.0
359,Uttarakhand,2014,Wind Power,33.63,0.0
360,Uttarakhand,2015,Bio-Mass Power,57.99,76.0
361,Uttarakhand,2015,Small Hydro Power,57.99,209.33
362,Uttarakhand,2015,Solar Power,57.99,41.15
363,Uttarakhand,2015,Waste to Energy,57.99,0.0
364,Uttarakhand,2015,Wind Power,57.99,0.0
365,Uttarakhand,2016,Bio-Mass Power,0.0,73.0
366,Uttarakhand,2016,Small Hydro Power,0.0,209.32
367,Uttarakhand,2016,Solar Power,0.0,233.49
368,Uttarakhand,2016,Waste to Energy,0.0,0.0
369,Uttarakhand,2016,Wind Power,0.0,0.0
370,Uttarakhand,2017,Bio-Mass Power,7.72,130.5
371,Uttarakhand,2017,Small Hydro Power,7.72,214.32
372,Uttarakhand,2017,Solar Power,7.72,260.08
373,Uttarakhand,2017,Waste to Energy,7.72,0.0
374,Uttarakhand,2017,Wind Power,7.72,0.0
375,Uttarakhand,2018,Bio-Mass Power,1.4,130.5
376,Uttarakhand,2018,Small Hydro Power,1.4,214.32
377,Uttarakhand,2018,Solar Power,1.4,306.75
378,Uttarakhand,2018,Waste to Energy ,1.4,0.0
379,Uttarakhand,2018,Wind Power,1.4,0.0
380,Uttarakhand,2019,Bio-Mass Power,7.9,130.5
381,Uttarakhand,2019,Small Hydro Power,7.9,214.32
382,Uttarakhand,2019,Solar Power,7.9,315.9
383,Uttarakhand,2019,Waste to Energy ,7.9,0.0
384,Uttarakhand,2019,Wind Power,7.9,0.0
385,Uttarakhand,2020,Bio-Mass Power,26.97,130.22
386,Uttarakhand,2020,Small Hydro Power,26.97,214.32
387,Uttarakhand,2020,Solar Power,26.97,380.13
388,Uttarakhand,2020,Waste to Energy ,26.97,9.22
389,Uttarakhand,2020,Wind Power,26.97,0.0
390,Uttarakhand,2021,Bio-Mass Power,26.97,130.22
391,Uttarakhand,2021,Small Hydro Power,26.97,218.82
392,Uttarakhand,2021,Solar Power,26.97,573.54
393,Uttarakhand,2021,Waste to Energy ,26.97,9.22
394,Uttarakhand,2021,Wind Power,26.97,0.0
395,Haryana,2006,Bio-Mass Power,0.0,6.0
396,Haryana,2006,Small Hydro Power,0.0,62.7
397,Haryana,2006,Solar Power,0.0,0.0
398,Haryana,2006,Waste to Energy,0.0,0.0
399,Haryana,2006,Wind Power,0.0,0.0
400,Haryana,2007,Bio-Mass Power,0.0,6.0
401,Haryana,2007,Small Hydro Power,0.0,62.7
402,Haryana,2007,Solar Power,0.0,0.0
403,Haryana,2007,Waste to Energy,0.0,0.0
404,Haryana,2007,Wind Power,0.0,0.0
405,Haryana,2008,Bio-Mass Power,13.39,6.0
406,Haryana,2008,Small Hydro Power,13.39,62.7
407,Haryana,2008,Solar Power,13.39,0.0
408,Haryana,2008,Waste to Energy,13.39,0.0
409,Haryana,2008,Wind Power,13.39,0.0
410,Haryana,2009,Bio-Mass Power,35.94,7.8
411,Haryana,2009,Small Hydro Power,35.94,70.1
412,Haryana,2009,Solar Power,35.94,0.0
413,Haryana,2009,Waste to Energy,35.94,0.0
414,Haryana,2009,Wind Power,35.94,0.0
415,Haryana,2010,Bio-Mass Power,15.86,35.8
416,Haryana,2010,Small Hydro Power,15.86,70.1
417,Haryana,2010,Solar Power,15.86,0.0
418,Haryana,2010,Waste to Energy,15.86,0.0
419,Haryana,2010,Wind Power,15.86,0.0
420,Haryana,2011,Bio-Mass Power,0.41,35.8
421,Haryana,2011,Small Hydro Power,0.41,70.1
422,Haryana,2011,Solar Power,0.41,16.8
423,Haryana,2011,Waste to Energy,0.41,0.0
424,Haryana,2011,Wind Power,0.41,0.0
425,Haryana,2012,Bio-Mass Power,2.03,45.3
426,Haryana,2012,Small Hydro Power,2.03,70.1
427,Haryana,2012,Solar Power,2.03,7.8
428,Haryana,2012,Waste to Energy,2.03,0.0
429,Haryana,2012,Wind Power,2.03,0.0
430,Haryana,2013,Bio-Mass Power,10.26,45.3
431,Haryana,2013,Small Hydro Power,10.26,70.1
432,Haryana,2013,Solar Power,10.26,10.3
433,Haryana,2013,Waste to Energy,10.26,0.0
434,Haryana,2013,Wind Power,10.26,0.0
435,Haryana,2014,Bio-Mass Power,-1.77,52.3
436,Haryana,2014,Small Hydro Power,-1.77,71.5
437,Haryana,2014,Solar Power,-1.77,12.8
438,Haryana,2014,Waste to Energy,-1.77,0.0
439,Haryana,2014,Wind Power,-1.77,0.0
440,Haryana,2015,Bio-Mass Power,87.28,45.3
441,Haryana,2015,Small Hydro Power,87.28,73.5
442,Haryana,2015,Solar Power,87.28,15.39
443,Haryana,2015,Waste to Energy,87.28,0.0
444,Haryana,2015,Wind Power,87.28,0.0
445,Haryana,2016,Bio-Mass Power,0.0,96.4
446,Haryana,2016,Small Hydro Power,0.0,73.5
447,Haryana,2016,Solar Power,0.0,81.4
448,Haryana,2016,Waste to Energy,0.0,0.0
449,Haryana,2016,Wind Power,0.0,0.0
450,Haryana,2017,Bio-Mass Power,1.55,205.66
451,Haryana,2017,Small Hydro Power,1.55,73.5
452,Haryana,2017,Solar Power,1.55,216.85
453,Haryana,2017,Waste to Energy,1.55,0.0
454,Haryana,2017,Wind Power,1.55,0.0
455,Haryana,2018,Bio-Mass Power,5.48,205.66
456,Haryana,2018,Small Hydro Power,5.48,73.5
457,Haryana,2018,Solar Power,5.48,224.52
458,Haryana,2018,Waste to Energy ,5.48,0.0
459,Haryana,2018,Wind Power,5.48,0.0
460,Haryana,2019,Bio-Mass Power,30.5,205.66
461,Haryana,2019,Small Hydro Power,30.5,73.5
462,Haryana,2019,Solar Power,30.5,252.14
463,Haryana,2019,Waste to Energy ,30.5,0.0
464,Haryana,2019,Wind Power,30.5,0.0
465,Haryana,2020,Bio-Mass Power,62.9,210.66
466,Haryana,2020,Small Hydro Power,62.9,73.5
467,Haryana,2020,Solar Power,62.9,472.26
468,Haryana,2020,Waste to Energy ,62.9,6.09
469,Haryana,2020,Wind Power,62.9,0.0
470,Haryana,2021,Bio-Mass Power,62.9,240.66
471,Haryana,2021,Small Hydro Power,62.9,73.5
472,Haryana,2021,Solar Power,62.9,910.63
473,Haryana,2021,Waste to Energy ,62.9,17.34
474,Haryana,2021,Wind Power,62.9,0.0
475,Delhi,2006,Bio-Mass Power,0.0,0.0
476,Delhi,2006,Small Hydro Power,0.0,0.0
477,Delhi,2006,Solar Power,0.0,0.0
478,Delhi,2006,Waste to Energy,0.0,0.0
479,Delhi,2006,Wind Power,0.0,0.0
480,Delhi,2008,Bio-Mass Power,0.0,0.0
481,Delhi,2008,Small Hydro Power,0.0,0.0
482,Delhi,2008,Solar Power,0.0,0.0
483,Delhi,2008,Waste to Energy,0.0,0.0
484,Delhi,2008,Wind Power,0.0,0.0
485,Delhi,2009,Bio-Mass Power,4180.0,0.0
486,Delhi,2009,Small Hydro Power,4180.0,0.0
487,Delhi,2009,Solar Power,4180.0,0.05
488,Delhi,2009,Waste to Energy,4180.0,0.0
